,0,1,2,3
aerosol_mass_density_vp,parameterName,Mass density,typeOfLevel,hybrid
specific_humidity_vp,parameterName,Specific humidity,typeOfLevel,hybrid
fraction_of_cloud_cover_vp,parameterName,32,typeOfLevel,hybrid
level_height_geo_potential_vp,parameterName,Geopotential height,typeOfLevel,hybrid
temperature_vp,parameterName,Temperature,typeOfLevel,hybrid
pressure_vp,parameterName,Pressure,typeOfLevel,hybrid
fraction_of_cloud_cover_vp,name,Fraction of cloud cover,typeOfLevel,hybrid
specific_humidity_vp,parameterName,Specific humidity,typeOfLevel,hybrid
u_component_of_wind_vp,name,U component of wind,typeOfLevel,hybrid
v_component_of_wind_vp,name,V component of wind,typeOfLevel,hybrid
vertical_velocity_vp,name,Vertical velocity,typeOfLevel,hybrid
turbulent_kinetic_energy_vp,name,Turbulent kinetic energy,typeOfLevel,hybrid
cloud_mixing_ratio_vp,parameterName,Cloud mixing ratio,typeOfLevel,hybrid
ice_water_mixing_ratio_vp,parameterName,82,typeOfLevel,hybrid
rain_mixing_ratio_vp,parameterName,Rain mixing ratio,typeOfLevel,hybrid
snow_mixing_ratio_vp,parameterName,Snow mixing ratio,typeOfLevel,hybrid
aerosol_mass_density_ground_level,parameterName,Mass density,typeOfLevel,heightAboveGround
downward_long_wave_radiation_flux_surface,parameterName,Downward long-wave radiation flux,,
upward_long_wave_radiation_flux_surface,parameterName,Upward long-wave radiation flux,typeOfLevel,surface
downward_short_wave_radiation_flux_surface,parameterName,Downward short-wave radiation flux,,
uward_short_wave_radiation_flux_surface,name,Upward short-wave radiation flux,typeOfLevel,surface
orography,name,Orography,,
temperature_surface,parameterName,Temperature,typeOfLevel,surface
planetary_boundary_layer_height,parameterName,Planetary boundary layer height,,
visibility_surface,parameterName,Visibility,typeOfLevel,surface
wind_speed_gust_surface,parameterName,Wind speed (gust),typeOfLevel,surface
surface_pressure_surface,name,Surface pressure,typeOfLevel,surface
plant_canopy_surface_water_surface,parameterName,Plant canopy surface water,typeOfLevel,surface
snow_cover_surface,parameterName,Snow cover,typeOfLevel,surface
snow_depth_surface,parameterName,Snow depth,typeOfLevel,surface
precipitation_rate_surface,parameterName,Precipitation rate,typeOfLevel,surface
sensible_heat_net_flux_surface,parameterName,Sensible heat net flux,typeOfLevel,surface
latent_heat_net_flux_surface,parameterName,Latent heat net flux,typeOfLevel,surface
ground_heat_flux_surface,parameterName,Ground heat flux,typeOfLevel,surface
convective_available_potential_energy_surface,parameterName,Convective available potential energy,typeOfLevel,surface
convective_inhibition_surface,parameterName,Convective inhibition,typeOfLevel,surface
aerosol_integrated_density_column,parameterName,Total column,,
precipitable_water_column,parameterName,Precipitable water,,
total_cloud_cover,parameterName,Total cloud cover,typeOfLevel,atmosphere
aerosol_optical_depth,parameterName,102,,
cloud_base_gph,parameterName,Geopotential height,typeOfLevel,cloudBase
cloud_top_gph,parameterName,Geopotential height,typeOfLevel,cloudTop
composite_reflectivity,shortName,refc,typeOfLevel,atmosphere
